symbol,sector,daily,weekly,monthly
GLD,Commodity,0.7183531450239977,2.6225958501511437,8.081804802456393
SLV,Commodity,3.8860220572490167,9.078959251845387,10.785125755556791
USO,Commodity,2.3442432308846906,0.977119270794069,2.6659995423514493
DJP,Commodity,0.8428289440615133,1.3965125161047753,0.0353259302210418
GDX,Commodity,1.2116930905378576,8.47919661744847,22.367304010000176
BTC-USD,Crypto,-1.989024196315925,-2.784072593476572,-15.910503529437015
ETH-USD,Crypto,-3.486177751237163,-0.6545039559569865,-19.997481801472496
BNB-USD,Crypto,-2.074254395091857,-2.0351734013626777,-21.467994540588553
SOL-USD,Crypto,-3.816237251649157,-2.3683860148650204,-21.63379218965984
XRP-USD,Crypto,-2.7603144262055013,-4.624005716385415,-17.147256533280554
